2022-09-17 22:45:18,263 INFO: => creating model 
2022-09-17 22:45:26,696 INFO: cls num list:
2022-09-17 22:45:26,697 INFO: [5000, 5000, 5000, 5000, 5000, 50, 50, 50, 50, 50]
2022-09-17 22:45:27,907 INFO: Epoch: [0][0/198], lr: 0.00200	Time 1.137 (1.137)	Data 0.740 (0.740)	Loss 2.2213 (2.2213)	Prec@1 15.625 (15.625)	
2022-09-17 22:45:29,442 INFO: Epoch: [0][10/198], lr: 0.00200	Time 0.155 (0.241)	Data 0.001 (0.075)	Loss 1.4992 (1.9927)	Prec@1 32.031 (25.497)	
2022-09-17 22:45:30,966 INFO: Epoch: [0][20/198], lr: 0.00200	Time 0.181 (0.200)	Data 0.002 (0.045)	Loss 1.6578 (1.9713)	Prec@1 46.875 (28.943)	
2022-09-17 22:45:32,489 INFO: Epoch: [0][30/198], lr: 0.00200	Time 0.165 (0.184)	Data 0.002 (0.033)	Loss 2.1128 (1.9992)	Prec@1 24.219 (29.209)	
2022-09-17 22:45:34,004 INFO: Epoch: [0][40/198], lr: 0.00200	Time 0.157 (0.176)	Data 0.002 (0.028)	Loss 1.3743 (2.0250)	Prec@1 46.094 (27.877)	
2022-09-17 22:45:35,528 INFO: Epoch: [0][50/198], lr: 0.00200	Time 0.155 (0.171)	Data 0.002 (0.024)	Loss 1.7683 (2.0205)	Prec@1 44.531 (28.876)	
2022-09-17 22:45:37,046 INFO: Epoch: [0][60/198], lr: 0.00200	Time 0.138 (0.168)	Data 0.004 (0.022)	Loss 1.2901 (1.9774)	Prec@1 45.312 (30.046)	
2022-09-17 22:45:38,575 INFO: Epoch: [0][70/198], lr: 0.00200	Time 0.135 (0.166)	Data 0.002 (0.020)	Loss 2.4007 (1.9341)	Prec@1 21.875 (31.217)	
2022-09-17 22:45:40,102 INFO: Epoch: [0][80/198], lr: 0.00200	Time 0.137 (0.164)	Data 0.009 (0.019)	Loss 1.2271 (1.8894)	Prec@1 43.750 (32.041)	
2022-09-17 22:45:41,627 INFO: Epoch: [0][90/198], lr: 0.00200	Time 0.137 (0.163)	Data 0.002 (0.018)	Loss 1.2544 (1.8600)	Prec@1 53.125 (33.104)	
2022-09-17 22:45:43,154 INFO: Epoch: [0][100/198], lr: 0.00200	Time 0.151 (0.162)	Data 0.002 (0.018)	Loss 2.1316 (1.8421)	Prec@1 21.875 (33.439)	
