2022-09-26 19:56:41,919 INFO: => creating model 
2022-09-26 19:56:47,770 INFO: cls num list:
2022-09-26 19:56:47,770 INFO: [5000, 2997, 1796, 1077, 645, 387, 232, 139, 83, 50]
2022-09-26 19:57:01,269 INFO: Epoch: [0][310/391], lr: 0.00200	Time 0.033 (0.043)	Data 0.000 (0.002)	Loss 2.0818 (2.2804)	Prec@1 6.250 (2.947)	
2022-09-26 19:57:01,655 INFO: Epoch: [0][320/391], lr: 0.00200	Time 0.040 (0.043)	Data 0.000 (0.002)	Loss 2.1433 (2.2765)	Prec@1 4.688 (2.940)	
2022-09-26 19:57:02,042 INFO: Epoch: [0][330/391], lr: 0.00200	Time 0.038 (0.043)	Data 0.000 (0.002)	Loss 2.1203 (2.2717)	Prec@1 3.125 (2.974)	
2022-09-26 19:57:02,426 INFO: Epoch: [0][340/391], lr: 0.00200	Time 0.039 (0.043)	Data 0.000 (0.002)	Loss 2.0649 (2.2674)	Prec@1 4.688 (3.017)	
2022-09-26 19:57:02,811 INFO: Epoch: [0][350/391], lr: 0.00200	Time 0.040 (0.043)	Data 0.000 (0.002)	Loss 2.1245 (2.2631)	Prec@1 3.906 (3.040)	
2022-09-26 19:57:03,197 INFO: Epoch: [0][360/391], lr: 0.00200	Time 0.039 (0.043)	Data 0.000 (0.002)	Loss 2.0668 (2.2585)	Prec@1 4.688 (3.090)	
2022-09-26 19:57:03,578 INFO: Epoch: [0][370/391], lr: 0.00200	Time 0.038 (0.043)	Data 0.000 (0.002)	Loss 2.0704 (2.2549)	Prec@1 0.000 (3.091)	
2022-09-26 19:57:03,964 INFO: Epoch: [0][380/391], lr: 0.00200	Time 0.039 (0.042)	Data 0.000 (0.002)	Loss 2.1015 (2.2516)	Prec@1 3.906 (3.109)	
2022-09-26 19:57:04,338 INFO: Epoch: [0][390/391], lr: 0.00200	Time 0.037 (0.042)	Data 0.000 (0.002)	Loss 2.1025 (2.2487)	Prec@1 3.750 (3.126)	
2022-09-26 19:57:04,838 INFO: Test: [0/100]	Time 0.416 (0.416)	Loss 1.8835 (1.8835)	Prec@1 36.000 (36.000)	Prec@5 88.000 (88.000)
2022-09-26 19:57:04,908 INFO: Test: [10/100]	Time 0.007 (0.044)	Loss 1.7852 (1.8106)	Prec@1 34.000 (34.818)	Prec@5 84.000 (86.727)
2022-09-26 19:57:04,978 INFO: Test: [20/100]	Time 0.006 (0.026)	Loss 1.9254 (1.8211)	Prec@1 23.000 (34.286)	Prec@5 86.000 (86.381)
