2022-09-26 19:57:35,861 INFO: => creating model 
2022-09-26 19:57:40,280 INFO: cls num list:
2022-09-26 19:57:40,280 INFO: [5000, 2997, 1796, 1077, 645, 387, 232, 139, 83, 50]
2022-09-26 19:57:41,043 INFO: Epoch: [0][0/391], lr: 0.00200	Time 0.751 (0.751)	Data 0.445 (0.445)	Loss 6.2858 (6.2858)	Prec@1 1.562 (1.562)	
2022-09-26 19:57:41,483 INFO: Epoch: [0][10/391], lr: 0.00200	Time 0.042 (0.108)	Data 0.000 (0.042)	Loss 3.0817 (3.8303)	Prec@1 0.781 (0.994)	
2022-09-26 19:57:41,905 INFO: Epoch: [0][20/391], lr: 0.00200	Time 0.041 (0.077)	Data 0.000 (0.022)	Loss 2.3731 (3.2825)	Prec@1 3.906 (1.711)	
2022-09-26 19:57:42,323 INFO: Epoch: [0][30/391], lr: 0.00200	Time 0.041 (0.066)	Data 0.000 (0.015)	Loss 2.4649 (3.0152)	Prec@1 0.781 (1.689)	
2022-09-26 19:57:42,740 INFO: Epoch: [0][40/391], lr: 0.00200	Time 0.038 (0.060)	Data 0.000 (0.012)	Loss 2.4762 (2.8542)	Prec@1 1.562 (1.753)	
2022-09-26 19:57:43,157 INFO: Epoch: [0][50/391], lr: 0.00200	Time 0.042 (0.056)	Data 0.000 (0.010)	Loss 2.3252 (2.7594)	Prec@1 1.562 (1.716)	
2022-09-26 19:57:43,577 INFO: Epoch: [0][60/391], lr: 0.00200	Time 0.041 (0.054)	Data 0.000 (0.008)	Loss 2.2613 (2.6816)	Prec@1 2.344 (1.819)	
2022-09-26 19:57:43,994 INFO: Epoch: [0][70/391], lr: 0.00200	Time 0.042 (0.052)	Data 0.000 (0.007)	Loss 2.2994 (2.6201)	Prec@1 1.562 (1.915)	
2022-09-26 19:57:44,417 INFO: Epoch: [0][80/391], lr: 0.00200	Time 0.044 (0.051)	Data 0.000 (0.007)	Loss 2.2079 (2.5743)	Prec@1 1.562 (1.997)	
2022-09-26 19:57:44,832 INFO: Epoch: [0][90/391], lr: 0.00200	Time 0.040 (0.050)	Data 0.000 (0.006)	Loss 2.2022 (2.5385)	Prec@1 7.031 (2.181)	
2022-09-26 19:57:45,246 INFO: Epoch: [0][100/391], lr: 0.00200	Time 0.041 (0.049)	Data 0.000 (0.005)	Loss 2.1428 (2.5058)	Prec@1 2.344 (2.228)	
2022-09-26 19:57:45,662 INFO: Epoch: [0][110/391], lr: 0.00200	Time 0.042 (0.048)	Data 0.000 (0.005)	Loss 2.1423 (2.4780)	Prec@1 3.906 (2.393)	
2022-09-26 19:57:46,083 INFO: Epoch: [0][120/391], lr: 0.00200	Time 0.041 (0.048)	Data 0.000 (0.005)	Loss 2.1360 (2.4549)	Prec@1 3.906 (2.428)	
2022-09-26 19:57:46,501 INFO: Epoch: [0][130/391], lr: 0.00200	Time 0.047 (0.047)	Data 0.000 (0.004)	Loss 2.1610 (2.4351)	Prec@1 3.125 (2.499)	
2022-09-26 19:57:46,929 INFO: Epoch: [0][140/391], lr: 0.00200	Time 0.048 (0.047)	Data 0.000 (0.004)	Loss 2.1564 (2.4192)	Prec@1 3.125 (2.504)	
2022-09-26 19:57:47,366 INFO: Epoch: [0][150/391], lr: 0.00200	Time 0.044 (0.047)	Data 0.000 (0.004)	Loss 2.2117 (2.4043)	Prec@1 0.781 (2.540)	
2022-09-26 19:57:47,789 INFO: Epoch: [0][160/391], lr: 0.00200	Time 0.044 (0.047)	Data 0.000 (0.004)	Loss 2.2162 (2.3914)	Prec@1 0.781 (2.557)	
2022-09-26 19:57:48,211 INFO: Epoch: [0][170/391], lr: 0.00200	Time 0.037 (0.046)	Data 0.000 (0.004)	Loss 2.1728 (2.3791)	Prec@1 4.688 (2.590)	
2022-09-26 19:57:48,630 INFO: Epoch: [0][180/391], lr: 0.00200	Time 0.038 (0.046)	Data 0.000 (0.003)	Loss 2.2008 (2.3684)	Prec@1 2.344 (2.633)	
2022-09-26 19:57:49,051 INFO: Epoch: [0][190/391], lr: 0.00200	Time 0.044 (0.046)	Data 0.000 (0.003)	Loss 2.1718 (2.3594)	Prec@1 3.125 (2.659)	
2022-09-26 19:57:49,468 INFO: Epoch: [0][200/391], lr: 0.00200	Time 0.042 (0.046)	Data 0.000 (0.003)	Loss 2.1622 (2.3492)	Prec@1 3.906 (2.690)	
2022-09-26 19:57:49,891 INFO: Epoch: [0][210/391], lr: 0.00200	Time 0.042 (0.045)	Data 0.000 (0.003)	Loss 2.2172 (2.3408)	Prec@1 3.125 (2.703)	
2022-09-26 19:57:50,324 INFO: Epoch: [0][220/391], lr: 0.00200	Time 0.042 (0.045)	Data 0.000 (0.003)	Loss 2.1304 (2.3315)	Prec@1 1.562 (2.750)	
2022-09-26 19:57:50,755 INFO: Epoch: [0][230/391], lr: 0.00200	Time 0.044 (0.045)	Data 0.000 (0.003)	Loss 2.1256 (2.3249)	Prec@1 2.344 (2.743)	
2022-09-26 19:57:51,181 INFO: Epoch: [0][240/391], lr: 0.00200	Time 0.040 (0.045)	Data 0.000 (0.003)	Loss 2.1569 (2.3171)	Prec@1 4.688 (2.811)	
2022-09-26 19:57:51,600 INFO: Epoch: [0][250/391], lr: 0.00200	Time 0.043 (0.045)	Data 0.000 (0.003)	Loss 2.1227 (2.3096)	Prec@1 1.562 (2.829)	
